barn_id,alder,gave_ønske
barn_164,8,Spill
barn_165,3,kjelke
barn_166,13,kikkert
barn_167,6,Lekefigur
barn_168,5,Sykkel
barn_169,2,Spill
barn_170,8,rulleskøyter
barn_171,9,Lego
barn_172,1,Spill
barn_173,8,Spill
barn_174,5,Spill
barn_175,9,Bok
barn_176,5,Lego
barn_177,9,Bil
barn_178,7,Spill
barn_179,16,Lekefigur
barn_180,4,Bok
barn_181,6,Lekefigur
barn_182,4,Kosedyr
barn_183,15,Tegnesaker
barn_184,14,Lego
barn_185,5,Spill
barn_186,9,Lekefigur
barn_187,13,Sykkel
barn_188,8,Spill
barn_189,8,Bok
barn_190,5,Spill
barn_191,3,Spill
barn_192,15,kikkert
barn_193,15,Kosedyr
barn_194,9,kostyme
barn_195,6,Bil
barn_196,6,Lego
barn_197,10,Kosedyr
barn_198,15,Kosedyr
barn_199,14,Lekefigur
barn_200,12,Spill
barn_201,9,Kosedyr
barn_202,3,Spill
barn_203,5,Spill
barn_204,15,Spill
barn_205,9,Kosedyr
barn_206,1,Bok
barn_207,3,kostyme
barn_208,9,Spill
barn_209,1,kostyme
barn_210,5,Spill
barn_211,8,kostyme
barn_212,9,Spill
barn_213,9,Spill
barn_214,5,Sykkel
barn_215,10,Sykkel
barn_216,5,Spill
barn_217,6,Lego
barn_218,11,Tegnesaker
barn_219,9,Bok
barn_220,13,Tegnesaker
barn_221,9,rulleskøyter
barn_222,8,Spill
barn_223,3,Bil
barn_224,6,Spill
barn_225,6,Tegnesaker
barn_226,5,Bok
barn_227,17,Lego
barn_228,7,kostyme
barn_229,15,Kosedyr
barn_230,9,ski
barn_231,12,Spill
barn_232,8,Kosedyr
barn_233,8,Spill
barn_234,8,Lekefigur
barn_235,5,Spill
barn_236,10,kostyme
barn_237,6,Bok
barn_238,1,Lego
barn_239,9,Sykkel
barn_240,5,Kosedyr
barn_241,16,Kosedyr
barn_242,16,ski
barn_243,15,Bok
barn_244,6,Tegnesaker
barn_245,1,Lekefigur
barn_246,16,Kosedyr
barn_247,7,Bil
barn_248,17,kostyme
barn_249,17,kostyme
barn_250,14,Lego
barn_251,6,ski
barn_252,7,Lekefigur
barn_253,13,Kosedyr
barn_254,6,Bok
barn_255,5,Lego
barn_256,8,Sykkel
barn_257,16,ski
barn_258,9,Spill
barn_259,8,rulleskøyter
barn_260,3,Bok
barn_261,9,Bok
barn_262,17,Spill
barn_263,4,Lego
barn_264,8,Kosedyr
barn_265,14,Sykkel
barn_266,11,Lego
barn_267,9,Spill
barn_268,9,Tegnesaker
barn_269,6,kostyme
barn_270,6,ski
barn_271,12,Bok
barn_272,12,kikkert
barn_273,14,Bok
barn_274,15,Lego
barn_275,8,rulleskøyter
barn_276,8,Bok
barn_277,12,Sykkel
barn_278,9,Sykkel
barn_279,9,Kosedyr
barn_280,12,kostyme
barn_281,15,Lego
barn_282,6,Spill
barn_283,7,Tegnesaker
barn_284,3,ski
barn_285,8,Kosedyr
barn_286,1,skøyter
barn_287,7,Bok
barn_288,8,Spill
barn_289,6,Tegnesaker
barn_290,8,Kosedyr
barn_291,1,skøyter
barn_292,2,Sykkel
barn_293,13,Bil
barn_294,6,Sykkel
barn_295,4,Tegnesaker
barn_296,8,Sykkel
barn_297,11,Lego
barn_298,5,kjelke
barn_299,9,Kosedyr
barn_300,3,Kosedyr
barn_301,2,Kosedyr
barn_302,8,kjelke
barn_303,8,Lego
barn_304,9,Spill
barn_305,10,Kosedyr
barn_306,17,Kosedyr
barn_307,8,Bok
barn_308,6,Bil
barn_309,12,Lego
barn_310,6,Tegnesaker
barn_311,7,Bok
barn_312,3,Lego
barn_313,1,Lekefigur
barn_314,16,Lego
barn_315,13,Kosedyr
barn_316,9,ski
barn_317,7,Kosedyr
barn_318,5,Bok
barn_319,5,Bok
barn_320,5,Lego
barn_321,8,Bok
barn_322,10,Lekefigur
barn_323,9,Spill
barn_324,6,Bok
barn_325,16,Sykkel
barn_326,10,Kosedyr
barn_327,8,Spill
barn_328,9,Bok
barn_329,7,Spill
barn_330,5,Bok
barn_331,6,Kosedyr
barn_332,11,rulleskøyter
barn_333,1,Spill
barn_334,4,Sykkel
barn_335,2,Spill
barn_336,2,Lego
barn_337,14,Kosedyr
barn_338,9,Kosedyr
barn_339,7,Lego
barn_340,3,ski
barn_341,8,ski
barn_342,7,Bok
barn_343,5,Kosedyr
barn_344,7,Lego
barn_345,7,Tegnesaker
barn_346,9,Spill
barn_347,9,Spill
barn_348,2,Lego
barn_349,7,Bok
barn_350,9,Lego
barn_351,8,rulleskøyter
barn_352,14,Kosedyr
barn_353,9,Spill
barn_354,5,skøyter
barn_355,2,Bok
barn_356,9,Lekefigur
barn_357,1,Kosedyr
barn_358,8,Bok
barn_359,16,Kosedyr
barn_360,8,Spill
barn_361,7,Bok
barn_362,9,Kosedyr
barn_363,7,Spill
barn_364,8,Bil
barn_365,16,Lego
barn_366,7,Sykkel
barn_367,16,Lego
barn_368,15,Tegnesaker
barn_369,5,Lego
barn_370,2,Lego
barn_371,3,Kosedyr
barn_372,1,Lekefigur
barn_373,3,rulleskøyter
barn_374,9,Lego
barn_375,2,Lekefigur
barn_376,6,Lego
barn_377,13,Kosedyr
barn_378,1,Tegnesaker
barn_379,12,Spill
barn_380,6,Spill
barn_381,4,Tegnesaker
barn_382,9,Tegnesaker
barn_383,9,Bok
barn_384,14,Spill
barn_385,10,Kosedyr
barn_386,12,Bok
barn_387,6,Kosedyr
barn_388,5,ski
barn_389,11,Kosedyr
barn_390,12,Spill
barn_391,17,rulleskøyter
barn_392,7,kostyme
barn_393,7,Lego
barn_394,11,Kosedyr
barn_395,6,ski
barn_396,16,Kosedyr
barn_397,14,Bok
barn_398,7,Spill
barn_399,11,Spill
barn_400,11,Kosedyr
barn_401,3,Tegnesaker
barn_402,15,kostyme
barn_403,8,Spill
barn_404,13,Bil
barn_405,6,Kosedyr
barn_406,15,Bil
barn_407,7,Tegnesaker
barn_408,1,Lekefigur
barn_409,15,Kosedyr
barn_410,3,kostyme
barn_411,6,Bok
barn_412,16,Bok
barn_413,16,Lego
barn_414,8,Kosedyr
barn_415,9,Spill
barn_416,7,Spill
barn_417,6,Lego
barn_418,6,Sykkel
barn_419,9,Bok
barn_420,11,Lego
barn_421,12,Lego
barn_422,12,Bok
barn_423,3,Bok
barn_424,8,kostyme
barn_425,2,Sykkel
barn_426,8,Spill
barn_427,7,Kosedyr
barn_428,14,Spill
barn_429,6,Kosedyr
barn_430,4,kjelke
barn_431,4,Bok
barn_432,11,Bil
barn_433,9,rulleskøyter
barn_434,3,Spill
barn_435,3,Kosedyr
barn_436,9,Lego
barn_437,2,Bok
barn_438,13,Lego
barn_439,10,skøyter
barn_440,3,kjelke
barn_441,3,Bil
barn_442,17,kostyme
barn_443,7,Lego
barn_444,7,Bok
barn_445,12,Kosedyr
barn_446,16,Bok
barn_447,17,Bok
barn_448,11,Bil
barn_449,7,Kosedyr
barn_450,3,Bok
barn_451,11,Bil
barn_452,8,Sykkel
barn_453,7,Spill
barn_454,15,Spill
barn_455,4,kostyme
barn_456,8,Spill
barn_457,1,Sykkel
barn_458,7,Bok
barn_459,2,Lekefigur
barn_460,4,kostyme
barn_461,4,Tegnesaker
barn_462,9,Kosedyr
barn_463,11,Lego
barn_464,8,Sykkel
barn_465,16,Lego
barn_466,7,kostyme
barn_467,6,Bil
barn_468,14,Kosedyr
barn_469,5,ski
barn_470,17,Bok
barn_471,1,kostyme
barn_472,17,Sykkel
barn_473,2,Kosedyr
barn_474,15,Kosedyr
barn_475,8,Tegnesaker
barn_476,17,Spill
barn_477,2,Kosedyr
barn_478,8,Sykkel
barn_479,17,Kosedyr
barn_480,8,Kosedyr
barn_481,9,Spill
barn_482,9,Lego
barn_483,7,kostyme
barn_484,9,Bil
barn_485,8,kikkert
barn_486,15,Kosedyr
barn_487,2,kostyme
barn_488,6,Bok
barn_489,16,Kosedyr
barn_490,15,Lekefigur
barn_491,7,Bok
barn_492,9,Lego
barn_493,6,Bok
barn_494,5,Lekefigur
barn_495,7,Lekefigur
barn_496,6,Kosedyr
barn_497,8,Bok
barn_498,3,Bok
barn_499,17,Spill
barn_500,17,Bil
barn_501,9,rulleskøyter
barn_502,8,kjelke
barn_503,6,Sykkel
barn_504,12,Lekefigur
barn_505,9,Bil
barn_506,5,ski
barn_507,15,kostyme
barn_508,13,Kosedyr
barn_509,16,Lego
barn_510,10,Spill
barn_511,9,Lekefigur
barn_512,7,Kosedyr
barn_513,16,Lekefigur
barn_514,14,Lekefigur
barn_515,2,Bok
barn_516,1,Kosedyr
barn_517,7,Lekefigur
barn_518,12,Kosedyr
barn_519,17,Lego
barn_520,5,kostyme
barn_521,9,Lego
barn_522,7,Spill
barn_523,17,Spill
barn_524,13,Sykkel
barn_525,13,Bil
barn_526,7,Kosedyr
barn_527,7,skøyter
barn_528,6,ski
barn_529,2,Sykkel
barn_530,14,Bil
barn_531,12,Lekefigur
barn_532,17,kostyme
barn_533,17,Lego
barn_534,8,Spill
barn_535,11,Spill
barn_536,16,Bil
barn_537,13,Lego
barn_538,5,Bok
barn_539,7,Lego
barn_540,4,Bok
barn_541,16,Lego
barn_542,9,Bil
barn_543,5,kikkert
barn_544,9,skøyter
barn_545,9,Bil
barn_546,6,ski
barn_547,4,Bok
barn_548,9,Kosedyr
barn_549,8,Bok
barn_550,11,Sykkel
barn_551,8,Bok
barn_552,14,Bil
barn_553,8,Sykkel
barn_554,8,Lego
barn_555,14,Kosedyr
barn_556,7,Bil
barn_557,4,Sykkel
barn_558,1,Kosedyr
barn_559,11,kostyme
barn_560,9,Lekefigur
barn_561,10,kikkert
barn_562,5,Kosedyr
barn_563,4,Lego
barn_564,1,Lego
barn_565,6,Lekefigur
barn_566,8,Lekefigur
barn_567,7,ski
barn_568,7,kikkert
barn_569,15,Lekefigur
barn_570,6,kostyme
barn_571,8,Bok
barn_572,12,Kosedyr
barn_573,7,ski
barn_574,9,kostyme
barn_575,14,Spill
barn_576,16,Spill
barn_577,4,Bok
barn_578,16,Kosedyr
barn_579,8,Lekefigur
barn_580,5,Bok
barn_581,7,Bok
barn_582,17,Bil
barn_583,8,Bok
barn_584,6,Lego
barn_585,9,Lego
barn_586,5,Spill
barn_587,3,Spill
barn_588,4,kikkert
barn_589,4,Bok
barn_590,5,Sykkel
barn_591,4,Lego
barn_592,9,Lekefigur
barn_593,5,kostyme
barn_594,6,Kosedyr
barn_595,15,kostyme
barn_596,7,Kosedyr
barn_597,9,Kosedyr
barn_598,5,kostyme
barn_599,5,Sykkel
barn_600,2,kjelke
barn_601,5,rulleskøyter
barn_602,6,Lekefigur
barn_603,5,kostyme
barn_604,3,Spill
barn_605,4,Bok
barn_606,7,Bok
barn_607,5,Bok
barn_608,6,Bok
barn_609,8,Lekefigur
barn_610,9,Bok
barn_611,2,Bil
barn_612,12,Kosedyr
barn_613,9,Lekefigur
barn_614,3,Tegnesaker
barn_615,14,Spill
barn_616,15,kjelke
barn_617,2,Kosedyr
barn_618,6,ski
barn_619,12,Bok
barn_620,11,Bok
barn_621,5,kikkert
barn_622,5,kostyme
barn_623,7,Lego
barn_624,8,Lekefigur
barn_625,9,Spill
barn_626,6,Bok
barn_627,7,Spill
barn_628,11,Lego
barn_629,1,ski
barn_630,5,Sykkel
barn_631,10,Lego
barn_632,15,Lekefigur
barn_633,8,Bok
barn_634,8,Bok
barn_635,3,kostyme
barn_636,7,Bok
barn_637,8,Spill
barn_638,5,Bil
barn_639,6,kjelke
barn_640,7,Bok
barn_641,1,Bok
barn_642,6,Bok
barn_643,5,Bil
barn_644,6,kostyme
barn_645,4,Bil
barn_646,15,ski
barn_647,9,Bil
barn_648,9,kostyme
barn_649,12,Lego
barn_650,8,Sykkel
barn_651,3,kostyme
barn_652,8,Kosedyr
barn_653,8,Lego
barn_654,11,Bok
barn_655,7,Bil
barn_656,4,Spill
barn_657,6,Bil
barn_658,6,Spill
barn_659,9,Sykkel
barn_660,8,Kosedyr
barn_661,6,Bil
barn_662,17,Spill
barn_663,9,Bok
barn_664,5,Kosedyr
barn_665,3,Kosedyr
barn_666,5,Lekefigur
barn_667,5,Tegnesaker
barn_668,5,Spill
barn_669,5,Spill
barn_670,6,Tegnesaker
barn_671,5,Tegnesaker
barn_672,15,Kosedyr
barn_673,3,Kosedyr
barn_674,8,Spill
barn_675,7,Kosedyr
barn_676,17,Sykkel
barn_677,4,kostyme
barn_678,7,Spill
barn_679,17,Bok
barn_680,14,Lekefigur
barn_681,13,Lego
barn_682,5,Kosedyr
barn_683,5,Tegnesaker
barn_684,9,Spill
barn_685,16,Lekefigur
barn_686,8,kikkert
barn_687,8,kikkert
barn_688,6,Spill
barn_689,11,Sykkel
barn_690,5,Tegnesaker
barn_691,6,Spill
barn_692,7,Lego
barn_693,8,Bok
barn_694,5,Sykkel
barn_695,4,Spill
barn_696,9,Bok
barn_697,6,Sykkel
barn_698,8,Bok
barn_699,5,Kosedyr
barn_700,7,Kosedyr
barn_701,8,Lekefigur
barn_702,2,Sykkel
barn_703,6,Tegnesaker
barn_704,4,Kosedyr
barn_705,2,kjelke
barn_706,17,Spill
barn_707,6,Kosedyr
barn_708,12,Sykkel
barn_709,5,kostyme
barn_710,9,kostyme
barn_711,11,Lego
barn_712,9,Bok
barn_713,7,Spill
barn_714,7,Kosedyr
barn_715,6,Spill
barn_716,16,kostyme
barn_717,13,Lego
barn_718,17,Lego
barn_719,4,Spill
barn_720,10,Spill
barn_721,16,Sykkel
barn_722,5,Bil
barn_723,2,kikkert
barn_724,11,Lekefigur
barn_725,8,Lego
barn_726,13,kostyme
barn_727,4,Bok
barn_728,12,Lego
barn_729,5,Lego
barn_730,5,Bok
barn_731,5,Bok
barn_732,12,Bil
barn_733,9,Kosedyr
barn_734,8,kostyme
barn_735,6,kjelke
barn_736,14,skøyter
barn_737,7,kikkert
barn_738,13,Bil
barn_739,7,Spill
barn_740,7,Kosedyr
barn_741,7,Sykkel
barn_742,6,Bil
barn_743,11,kjelke
barn_744,8,Sykkel
barn_745,5,Bok
barn_746,15,kjelke
barn_747,7,skøyter
barn_748,8,Bok
barn_749,15,Bil
barn_750,9,Bil
barn_751,4,Lego
barn_752,16,kostyme
barn_753,9,Kosedyr
barn_754,6,Spill
barn_755,4,Bok
barn_756,12,Lekefigur
barn_757,9,Spill
barn_758,8,Kosedyr
barn_759,15,rulleskøyter
barn_760,12,Spill
barn_761,5,Lego
barn_762,6,Sykkel
barn_763,5,Bok
barn_764,11,Bil
barn_765,1,Spill
barn_766,8,Bil
barn_767,11,Spill
barn_768,14,kikkert
barn_769,6,Bok
barn_770,13,Kosedyr
barn_771,3,ski
barn_772,13,kostyme
barn_773,4,Bil
barn_774,7,Bok
barn_775,12,Lego
barn_776,5,Lego
barn_777,5,Lego
barn_778,10,Spill
barn_779,10,skøyter
barn_780,9,Kosedyr
barn_781,9,Spill
barn_782,8,Lego
barn_783,5,kostyme
barn_784,6,Kosedyr
barn_785,5,Bok
barn_786,15,Lekefigur
barn_787,8,Spill
barn_788,7,Spill
barn_789,7,Kosedyr
barn_790,16,Bok
barn_791,5,Spill
barn_792,8,Kosedyr
barn_793,8,Lego
barn_794,9,Lego
barn_795,1,Kosedyr
barn_796,14,Lego
barn_797,16,Lego
barn_798,8,Bok
barn_799,9,Spill
barn_800,15,ski
barn_801,10,Spill
barn_802,5,Tegnesaker
barn_803,8,Bil
barn_804,9,Lekefigur
barn_805,7,Sykkel
barn_806,10,kostyme
barn_807,16,Sykkel
barn_808,15,ski
barn_809,7,Kosedyr
barn_810,4,Spill
barn_811,17,Spill
barn_812,13,kostyme
barn_813,4,Bok
barn_814,15,rulleskøyter
barn_815,14,Kosedyr
barn_816,8,Kosedyr
barn_817,8,Spill
barn_818,7,kostyme
barn_819,2,Sykkel
barn_820,6,Lego
barn_821,12,Bil
barn_822,1,Kosedyr
barn_823,6,Lego
barn_824,7,Spill
barn_825,8,Tegnesaker
barn_826,15,Tegnesaker
barn_827,6,Bok
barn_828,6,Bok
barn_829,10,Tegnesaker
barn_830,7,Kosedyr
barn_831,5,Lego
barn_832,7,Lego
barn_833,4,Lego
barn_834,5,kostyme
barn_835,8,Lego
barn_836,7,ski
barn_837,15,kostyme
barn_838,6,Lekefigur
barn_839,8,Bok
barn_840,9,Bok
barn_841,1,Tegnesaker
barn_842,9,Lekefigur
barn_843,5,Bok
barn_844,16,Kosedyr
barn_845,5,Spill
barn_846,7,Bil
barn_847,3,Lekefigur
barn_848,17,kostyme
barn_849,8,skøyter
barn_850,9,Lekefigur
barn_851,2,Spill
barn_852,11,Lekefigur
barn_853,5,Lekefigur
barn_854,15,Lego
barn_855,5,Kosedyr
barn_856,5,Lekefigur
barn_857,1,Bil
barn_858,7,Sykkel
barn_859,8,Lekefigur
barn_860,2,Lego
barn_861,11,Sykkel
barn_862,7,Lego
barn_863,8,Kosedyr
barn_864,7,Spill
barn_865,7,Bok
barn_866,8,Bok
barn_867,5,Bil
barn_868,5,Lego
barn_869,14,Kosedyr
barn_870,16,Lego
barn_871,7,Tegnesaker
barn_872,6,Bok
barn_873,9,Lego
barn_874,7,Spill
barn_875,1,Spill
barn_876,5,Lego
barn_877,10,Sykkel
barn_878,9,Kosedyr
barn_879,1,Bok
barn_880,5,Lego
barn_881,5,Tegnesaker
barn_882,9,Kosedyr
barn_883,1,kikkert
barn_884,3,Lekefigur
barn_885,12,Lego
barn_886,5,kostyme
barn_887,9,Spill
barn_888,5,Spill
barn_889,3,Kosedyr
barn_890,5,Sykkel
barn_891,10,Spill
barn_892,14,Tegnesaker
barn_893,13,Lekefigur
barn_894,7,Lego
barn_895,9,skøyter
barn_896,5,Bok
barn_897,6,rulleskøyter
barn_898,15,Lekefigur
barn_899,1,Lekefigur
barn_900,3,Tegnesaker
barn_901,5,Sykkel
barn_902,1,Spill
barn_903,5,Bil
barn_904,8,Kosedyr
barn_905,7,Bok
barn_906,15,ski
barn_907,13,Lego
barn_908,6,Kosedyr
barn_909,6,Lego
barn_910,7,Bok
barn_911,8,Lego
barn_912,6,Kosedyr
barn_913,9,Tegnesaker
barn_914,7,Bok
barn_915,8,Bok
barn_916,7,skøyter
barn_917,6,ski
barn_918,16,kostyme
barn_919,11,Kosedyr
barn_920,4,Lego
barn_921,14,Tegnesaker
barn_922,8,Kosedyr
barn_923,15,kikkert
barn_924,12,Lego
barn_925,7,Lekefigur
barn_926,1,Lego
barn_927,6,Lego
barn_928,8,Tegnesaker
barn_929,9,Tegnesaker
barn_930,5,Tegnesaker
barn_931,4,Lego
barn_932,13,Lekefigur
barn_933,17,Lego
barn_934,8,Spill
barn_935,5,Spill
barn_936,6,kostyme
barn_937,1,Bok
barn_938,15,Tegnesaker
barn_939,4,Spill
barn_940,8,Kosedyr
barn_941,6,Lego
barn_942,8,Lego
barn_943,9,Lego
barn_944,13,Bok
barn_945,5,Kosedyr
barn_946,1,Kosedyr
barn_947,4,Bok
barn_948,15,Bok
barn_949,14,Bok
barn_950,9,Bok
barn_951,9,skøyter
barn_952,9,Bok
barn_953,5,Kosedyr
barn_954,15,Kosedyr
barn_955,7,Bok
barn_956,7,Bok
barn_957,8,Spill
barn_958,2,Bok
barn_959,5,kostyme
barn_960,10,skøyter
barn_961,3,Tegnesaker
barn_962,9,Lego
barn_963,5,Bil
barn_964,7,Spill
barn_965,6,Bil
barn_966,6,Kosedyr
barn_967,10,Spill
barn_968,6,Lego
barn_969,8,Lekefigur
barn_970,7,Tegnesaker
barn_971,9,Lego
barn_972,16,Bil
barn_973,10,Lekefigur
barn_974,5,Bok
barn_975,1,Kosedyr
barn_976,6,Bil
barn_977,9,Bok
barn_978,2,Lekefigur
barn_979,8,Spill
barn_980,9,rulleskøyter
barn_981,6,kikkert
barn_982,11,Kosedyr
barn_983,3,Bok
barn_984,3,Lego
barn_985,10,Spill
barn_986,8,Bok
barn_987,9,Bil
barn_988,7,Bil
barn_989,5,Tegnesaker
barn_990,13,Lego
barn_991,12,Bil
barn_992,9,Spill
barn_993,6,Bok
barn_994,8,Kosedyr
barn_995,6,Tegnesaker
barn_996,3,Kosedyr
barn_997,15,skøyter
barn_998,4,Bil
barn_999,16,Lego
barn_1000,7,Lego
barn_1001,5,Kosedyr
barn_1002,8,Tegnesaker
barn_1003,14,Kosedyr
barn_1004,10,Kosedyr
barn_1005,12,Bok
barn_1006,9,Sykkel
barn_1007,9,Lego
barn_1008,13,Kosedyr
barn_1009,5,kostyme
barn_1010,8,Spill
barn_1011,5,kikkert
barn_1012,17,Tegnesaker
barn_1013,16,Kosedyr
barn_1014,2,Bil
barn_1015,10,rulleskøyter
barn_1016,15,kostyme
barn_1017,5,Spill
barn_1018,8,kikkert
barn_1019,15,Lego
barn_1020,1,Bok
barn_1021,9,Kosedyr
barn_1022,6,Bok
barn_1023,15,rulleskøyter
barn_1024,17,kostyme
barn_1025,16,Sykkel
barn_1026,7,Spill
barn_1027,14,rulleskøyter
barn_1028,13,Bok
barn_1029,6,Spill
barn_1030,13,Lekefigur
barn_1031,1,Spill
barn_1032,9,Kosedyr
barn_1033,5,skøyter
barn_1034,4,Lekefigur
barn_1035,3,kikkert
barn_1036,9,Kosedyr
barn_1037,6,Spill
barn_1038,10,Bok
barn_1039,2,kikkert
barn_1040,6,Bok
barn_1041,8,kostyme
barn_1042,12,Lego
barn_1043,6,Bil
barn_1044,9,Kosedyr
barn_1045,14,Spill
barn_1046,9,Bil
barn_1047,5,Bok
barn_1048,1,Lego
barn_1049,14,kostyme
barn_1050,1,Bil
barn_1051,14,Lego
barn_1052,8,Bil
barn_1053,16,kikkert
barn_1054,12,Sykkel
barn_1055,17,kostyme
barn_1056,6,Lekefigur
barn_1057,11,Lekefigur
barn_1058,7,Spill
barn_1059,7,rulleskøyter
barn_1060,9,Spill
barn_1061,14,ski
barn_1062,17,Kosedyr
barn_1063,11,Bok
barn_1064,7,kostyme
barn_1065,7,Kosedyr
barn_1066,10,Kosedyr
barn_1067,5,Bil
barn_1068,3,Bil
barn_1069,6,Lego
barn_1070,6,Kosedyr
barn_1071,6,Kosedyr
barn_1072,5,Lego
barn_1073,2,Bok
barn_1074,1,Kosedyr
barn_1075,17,Bok
barn_1076,7,Sykkel
barn_1077,7,Lekefigur
barn_1078,9,Kosedyr
barn_1079,5,Spill
barn_1080,16,Bil
barn_1081,12,Lekefigur
barn_1082,3,Lego
barn_1083,7,Lego
barn_1084,14,rulleskøyter
barn_1085,16,Lekefigur
barn_1086,7,Tegnesaker
barn_1087,9,Sykkel
barn_1088,5,Spill
barn_1089,17,Spill
barn_1090,5,Lekefigur
barn_1091,16,Bok
barn_1092,9,Spill
barn_1093,9,Lego
barn_1094,8,Tegnesaker
barn_1095,5,Tegnesaker
barn_1096,5,Kosedyr
barn_1097,5,Sykkel
barn_1098,5,Bok
barn_1099,12,Spill
barn_1100,6,Kosedyr
barn_1101,2,Tegnesaker
barn_1102,17,Lego
barn_1103,14,Lego
barn_1104,16,Spill
barn_1105,17,Spill
barn_1106,5,skøyter
barn_1107,7,Spill
barn_1108,11,Kosedyr
barn_1109,9,Lego
barn_1110,5,Spill
barn_1111,13,Kosedyr
barn_1112,5,Spill
barn_1113,5,Spill
barn_1114,8,Lego
barn_1115,9,Spill
barn_1116,8,Lego
barn_1117,3,Bil
barn_1118,14,Lego
barn_1119,6,kostyme
barn_1120,4,Lekefigur
barn_1121,14,Kosedyr
barn_1122,16,Tegnesaker
barn_1123,14,Sykkel
barn_1124,12,Tegnesaker
barn_1125,9,Lekefigur
barn_1126,8,Bok
barn_1127,3,Bok
barn_1128,7,Bok
barn_1129,7,Spill
barn_1130,6,Lego
barn_1131,10,Bil
barn_1132,8,Kosedyr
barn_1133,3,Bok
barn_1134,5,Spill
barn_1135,9,Kosedyr
